Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Credit_History,TotalIncome,EMI,Balance_Income,Rural,Semiurban,Urban
1,1,0,0,0,110.0,1.0,5720,0.3055555555555556,5414.444444444444,0,0,1
1,1,1,0,0,126.0,1.0,4576,0.35,4226.0,0,0,1
1,1,2,0,0,208.0,1.0,6800,0.5777777777777777,6222.222222222223,0,0,1
1,1,2,0,0,100.0,1.0,4886,0.2777777777777778,4608.222222222223,0,0,1
1,0,0,1,0,78.0,1.0,3276,0.21666666666666667,3059.3333333333335,0,0,1
1,1,0,1,1,152.0,1.0,5587,0.4222222222222222,5164.777777777777,0,0,1
0,0,1,1,0,59.0,1.0,2226,0.1638888888888889,2062.1111111111113,0,1,0
1,1,2,1,0,147.0,0.0,3881,0.4083333333333333,3472.6666666666665,1,0,0
1,1,2,0,0,280.0,1.0,13633,1.1666666666666667,12466.333333333334,0,0,1
1,0,0,1,0,123.0,1.0,4800,0.3416666666666667,4458.333333333333,0,1,0
1,0,0,1,0,90.0,1.0,3091,0.25,2841.0,0,0,1
1,1,1,0,0,162.0,1.0,3701,0.45,3251.0,0,1,0
1,0,3,0,0,40.0,1.0,4166,0.2222222222222222,3943.777777777778,0,0,1
1,1,2,0,0,166.0,0.0,12173,0.46111111111111114,11711.888888888889,0,1,0
0,0,0,0,0,124.0,1.0,4666,0.34444444444444444,4321.555555555556,0,1,0
1,0,1,0,0,131.0,1.0,5667,0.3638888888888889,5303.111111111111,0,0,1
1,1,2,0,0,200.0,1.0,7499,0.5555555555555556,6943.444444444444,0,0,1
1,1,3,0,0,126.0,1.0,4119,0.35,3769.0,0,1,0
1,1,0,0,0,300.0,1.0,17142,0.8333333333333334,16308.666666666666,0,0,1
1,0,0,0,0,100.0,1.0,4770,0.5555555555555556,4214.444444444444,0,1,0
1,1,1,1,0,48.0,1.0,3508,0.13333333333333333,3374.6666666666665,0,0,1
0,0,3,1,0,28.0,1.0,2083,0.15555555555555556,1927.4444444444443,0,0,1
1,0,0,0,0,101.0,1.0,3909,0.28055555555555556,3628.4444444444443,0,0,1
0,0,0,1,0,125.0,1.0,3765,0.3472222222222222,3417.777777777778,0,0,1
1,1,0,0,0,290.0,1.0,9780,0.8055555555555556,8974.444444444445,0,0,1
1,0,0,0,0,148.0,0.0,24000,0.4111111111111111,23588.88888888889,1,0,0
1,1,2,0,0,140.0,1.0,5613,0.3888888888888889,5224.111111111111,0,0,1
1,1,0,0,0,275.0,1.0,11250,0.7638888888888888,10486.111111111111,0,0,1
1,1,0,0,0,57.0,1.0,4605,0.15833333333333333,4446.666666666667,0,1,0
1,0,0,0,0,125.0,1.0,5324,0.6944444444444444,4629.555555555556,0,0,1
0,0,0,1,0,75.0,1.0,2478,0.20833333333333334,2269.6666666666665,0,1,0
1,1,2,0,0,192.0,1.0,7070,0.5333333333333333,6536.666666666667,0,0,1
1,0,0,0,0,152.0,1.0,4951,0.4222222222222222,4528.777777777777,0,1,0
1,1,0,0,0,158.0,1.0,5491,0.4388888888888889,5052.111111111111,0,0,1
1,1,0,0,0,101.0,1.0,4281,0.28055555555555556,4000.4444444444443,0,0,1
1,0,0,0,0,176.0,0.0,3150,0.4888888888888889,2661.1111111111113,0,1,0
1,1,2,0,0,185.0,1.0,11379,1.0277777777777777,10351.222222222223,0,0,1
1,1,0,0,1,90.0,1.0,5059,0.25,4809.0,0,0,1
1,0,0,0,1,116.0,1.0,5833,0.32222222222222224,5510.777777777777,0,0,1
1,0,0,0,0,138.0,1.0,5606,0.38333333333333336,5222.666666666667,0,0,1
1,1,0,0,0,100.0,1.0,6447,0.2777777777777778,6169.222222222223,0,0,1
0,0,0,0,0,110.0,1.0,3644,0.3055555555555556,3338.4444444444443,0,0,1
1,1,0,1,0,90.0,1.0,3774,0.25,3524.0,0,1,0
1,0,0,0,0,200.0,1.0,9100,0.5555555555555556,8544.444444444445,0,1,0
0,0,0,0,0,84.0,1.0,3666,0.23333333333333334,3432.6666666666665,0,0,1
1,1,0,0,0,185.0,1.0,8160,0.5138888888888888,7646.111111111111,0,0,1
1,1,0,1,0,162.0,1.0,5638,0.45,5188.0,0,0,1
