Store,Dept,Date,WeeklySales
1,1,2012-11-02,31615.864864864863
1,2,2012-11-09,46686.32432432433
1,3,2012-11-16,10069.081081081082
1,4,2012-11-23,38607.45945945946
1,5,2012-11-30,31198.027027027027
1,6,2012-12-07,4933.675675675676
1,7,2012-12-14,22956.432432432433
1,8,2012-12-21,35994.67567567567
1,9,2012-12-28,34037.59459459459
1,10,2013-01-04,30738.486486486487
1,11,2013-01-11,24035.891891891893
1,12,2013-01-18,9863.972972972973
1,13,2013-01-25,39745.24324324324
1,14,2013-02-01,14381.405405405405
1,16,2013-02-08,6287.594594594595
1,17,2013-02-15,8701.135135135135
1,18,2013-02-22,11530.648648648648
1,19,2013-03-01,868.6756756756756
1,20,2013-03-08,3208.5675675675675
1,21,2013-03-15,8626.378378378378
1,22,2013-03-22,7375.459459459459
1,23,2013-03-29,22723.864864864863
1,24,2013-04-05,6526.0
1,25,2013-04-12,10165.108108108108
1,26,2013-04-19,8206.891891891892
1,27,2013-04-26,1896.5405405405406
1,28,2013-05-03,856.4594594594595
1,29,2013-05-10,5059.27027027027
1,30,2013-05-17,2550.5945945945946
1,31,2013-05-24,1635.7567567567567
1,32,2013-05-31,6796.027027027027
1,33,2013-06-07,6314.810810810811
1,34,2013-06-14,11311.486486486487
1,35,2013-06-21,2744.189189189189
1,36,2013-06-28,2187.0810810810813
1,37,2013-07-05,2845.837837837838
1,38,2013-07-12,96824.24324324324
1,40,2013-07-19,62074.0
1,41,2013-07-26,1173.6756756756756
1,42,2012-11-02,7594.324324324324
1,44,2012-11-09,5530.1621621621625
1,46,2012-11-16,18725.837837837837
1,48,2012-11-23,1494.5135135135135
1,49,2012-11-30,11217.972972972973
1,52,2012-12-07,2285.6486486486488
1,55,2012-12-14,12287.513513513513
1,56,2012-12-21,908.4594594594595
1,58,2012-12-28,2566.864864864865
1,59,2013-01-04,247.6216216216216
1,60,2013-01-11,1030.4594594594594
1,67,2013-01-18,5984.2972972972975
1,71,2013-01-25,2562.027027027027
1,72,2013-02-01,54091.13513513513
1,74,2013-02-08,9478.918918918918
1,79,2013-02-15,42276.24324324324
1,80,2013-02-22,19467.756756756757
1,81,2013-03-01,30816.18918918919
1,82,2013-03-08,19791.405405405407
1,83,2013-03-15,5312.945945945946
1,85,2013-03-22,3154.891891891892
1,87,2013-03-29,56401.62162162162
1,90,2013-04-05,93640.97297297297
1,91,2013-04-12,69868.45945945945
1,92,2013-04-19,152269.2972972973
1,93,2013-04-26,80369.94594594595
1,94,2013-05-03,63297.81081081081
1,95,2013-05-10,116595.72972972973
1,96,2013-05-17,32575.324324324323
1,97,2013-05-24,35687.83783783784
1,98,2013-05-31,12962.297297297297
1,99,2013-06-07,134.27027027027026
1,1,2013-06-14,23123.18918918919
1,2,2013-06-21,46538.78378378379
1,3,2013-06-28,10132.054054054053
1,4,2013-07-05,38422.7027027027
1,5,2013-07-12,29513.45945945946
1,6,2013-07-19,4426.891891891892
1,7,2013-07-26,24374.702702702703
1,8,2012-11-02,38677.10810810811
1,9,2012-11-09,36385.2972972973
1,10,2012-11-16,29858.62162162162
1,11,2012-11-23,21833.08108108108
1,12,2012-11-30,10421.918918918918
1,13,2012-12-07,41915.08108108108
1,14,2012-12-14,15180.594594594595
1,16,2012-12-21,6571.189189189189
1,17,2012-12-28,8444.45945945946
1,18,2013-01-04,12419.972972972973
1,19,2013-01-11,923.918918918919
1,20,2013-01-18,3152.4054054054054
1,21,2013-01-25,8547.027027027027
1,22,2013-02-01,7229.054054054054
1,23,2013-02-08,21242.72972972973
1,24,2013-02-15,6421.243243243243
1,25,2013-02-22,10293.837837837838
1,26,2013-03-01,7703.72972972973
1,27,2013-03-08,1983.7567567567567
1,28,2013-03-15,755.2162162162163
1,29,2013-03-22,4659.864864864865
1,30,2013-03-29,2560.027027027027
1,31,2013-04-05,1592.2702702702702
1,32,2013-04-12,7147.675675675676
1,33,2013-04-19,6697.648648648648
1,34,2013-04-26,10932.837837837838
1,35,2013-05-03,2524.864864864865
1,36,2013-05-10,1582.972972972973
1,37,2013-05-17,2845.945945945946
1,38,2013-05-24,81802.81081081081
1,40,2013-05-31,62123.27027027027
1,41,2013-06-07,1003.027027027027
1,42,2013-06-14,7478.459459459459
1,44,2013-06-21,5848.648648648648
1,46,2013-06-28,18121.432432432433
1,48,2013-07-05,1647.2162162162163
1,49,2013-07-12,10555.945945945947
1,52,2013-07-19,2368.162162162162
